gender,age,education,geographic_location,income,married,n_kids,has_pets,former_customer_service,previous_spend,new_customer,satisfied_customer_service,next_spend
male,44.593695119918316,2,Northeast,"$60,000+",yes,1,1,no,130.12707694221888,no,0,368.32271972441254
male,81.08152152283921,0,Northeast,"< $60,000",yes,0,1,no,560.9025101907578,no,0,733.1112104382444
female,39.78515083667727,4,Northeast,"$60,000+",yes,0,1,no,376.2006471444986,no,1,614.8089609895623
female,44.16314528600661,3,Northeast,"$60,000+",yes,0,1,no,202.02611068604836,no,1,448.73814385470433
male,72.02876330072945,4,Northeast,"$60,000+",yes,0,1,no,417.8000110341965,no,1,663.7965427617225
female,59.17330429397573,1,Northeast,"$60,000+",yes,1,1,no,674.5091518634845,no,1,959.0509569663227
female,67.03816078689215,3,Northeast,"$60,000+",yes,0,1,no,385.61703208277913,no,1,677.2400969594913
female,79.32399837736988,2,Northeast,"$60,000+",no,0,1,no,0,yes,1,186.7002090477982
female,54.87726589812014,2,Northeast,"$60,000+",no,0,1,no,0,yes,1,187.78160046632996
male,62.98843867828139,3,Northeast,"$60,000+",no,0,1,no,100.52638077665942,no,0,372.8110603779019
male,37.17763687883196,0,Northeast,"$60,000+",yes,0,1,yes,0,yes,0,156.4919101383628
male,59.289195413302245,2,Northeast,"$60,000+",yes,2,1,no,0,yes,1,149.58570068323473
female,43.81599105713276,3,Northeast,"$60,000+",yes,0,1,no,0,yes,1,254.53775223062564
male,75.52041417802634,2,Northeast,"< $60,000",no,0,1,no,68.33553610548502,no,1,241.47924463311315
female,49.04777560009391,1,Northeast,"$60,000+",no,0,1,no,0,yes,0,239.85850140879865
male,50.60202331937388,0,Northeast,"$60,000+",yes,0,1,no,0,yes,0,156.99697752762268
female,49.928394599882544,2,Northeast,"$60,000+",yes,1,1,no,1131.3249233762324,no,1,1420.287824736577
female,9.30854713833373,1,Northeast,"< $60,000",yes,1,1,no,393.25515236811896,no,1,551.3186360311935
male,30.143600748223857,1,Northeast,"$60,000+",no,0,1,no,15.196750218817087,no,1,276.56500189521205
female,89.27716112111595,3,Northeast,"< $60,000",no,0,1,no,1092.9860687130167,no,1,1274.6724539598702
female,64.13057546037705,3,Northeast,"$60,000+",yes,2,1,no,775.2634356587356,no,1,1063.419256062456
male,50.793499594334776,1,Northeast,"$60,000+",yes,1,1,no,0,yes,0,198.12105960833986
female,46.829628207413236,0,Northeast,"< $60,000",yes,1,1,no,109.9954715594877,no,0,257.9859090728904
male,46.75484897615137,2,Northeast,"$60,000+",yes,0,1,no,201.08199656943742,no,1,483.1770709714118
male,58.77643823305914,4,Northeast,"$60,000+",yes,0,1,no,216.44491247685244,no,1,490.7962141594914
male,65.61398584099538,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,219.77789794285982
male,30.375887559449378,1,Northeast,"$60,000+",yes,0,1,no,0,yes,1,200.68065802912207
male,47.168285363345596,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,222.32263619501424
female,24.875020940666065,3,Northeast,"$60,000+",yes,0,1,no,0,yes,1,201.90638707065838
male,41.41932648029777,1,Northeast,"$60,000+",yes,2,1,no,102.7254389693131,no,1,382.5903370256727
male,60.175525324544445,0,Northeast,"$60,000+",yes,0,1,no,0,yes,0,153.63004795403728
female,21.062205141962217,1,Northeast,"$60,000+",yes,0,1,no,13.840573426805065,no,0,212.88442452145753
male,70.39025657398226,2,Northeast,"$60,000+",yes,1,1,no,0,yes,0,153.21786397267277
male,73.57093951813982,2,Northeast,"$60,000+",no,0,1,no,609.7396471926452,no,1,822.7940107171695
female,49.794824695840646,4,Northeast,"< $60,000",yes,0,1,no,428.2290686841107,no,1,557.6116038962384
female,55.37249742271939,0,Northeast,"$60,000+",yes,0,1,yes,0,yes,0,189.53794395049601
female,76.84057744917037,3,Northeast,"$60,000+",yes,0,1,no,0,yes,1,180.69546856254243
male,38.32787114044965,1,Northeast,"$60,000+",yes,2,1,no,0,yes,0,186.6904125477638
female,31.25998218375158,2,Northeast,"$60,000+",yes,1,1,no,0,yes,0,132.4650487321742
male,26.956858878417933,2,Northeast,"$60,000+",no,0,1,yes,0,yes,0,197.3641392430795
female,30.49633138342805,2,Northeast,"$60,000+",no,0,1,no,768.3410225065306,no,1,1018.9862802070357
female,35.771728034702264,1,Northeast,"< $60,000",no,0,1,no,1301.1009439336149,no,1,1479.6170219122118
female,57.43824952366519,2,Northeast,"$60,000+",yes,1,1,yes,641.9720925197441,no,1,897.1276784403472
female,31.12971165390704,2,Northeast,"$60,000+",no,0,1,no,458.0147182196072,no,1,727.1474448017271
female,44.51265383865182,4,Northeast,"$60,000+",yes,0,1,no,0,yes,1,204.07099684129452
female,53.089369882503696,3,Northeast,"$60,000+",no,0,1,no,0,yes,0,218.54816175774687
male,24.226935969578957,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,195.55749245900958
male,78.38204637613438,2,Northeast,"$60,000+",no,0,1,no,0,yes,0,200.82401949039678
female,76.47401198814023,1,Northeast,"$60,000+",yes,1,1,no,344.9463639682897,no,1,565.9189540628827
female,13.900484523679495,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,173.0130693135063
male,40.31860946971751,1,Northeast,"$60,000+",yes,0,1,no,133.9022842553243,no,0,392.2740017713123
female,42.53576439868219,4,Northeast,"$60,000+",yes,0,1,no,0,yes,1,177.77922285568653
male,53.38171804422684,1,Northeast,"$60,000+",yes,1,1,no,0,yes,1,247.5041935241008
male,26.540327943552455,2,Northeast,"$60,000+",no,0,1,no,1101.9155204068848,no,1,1399.2358853009223
male,42.47606526078111,2,Northeast,"$60,000+",yes,0,1,no,209.82402621459346,no,1,484.41764195587075
male,65.66255279287094,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,179.24499962325893
male,69.82342608862999,2,Northeast,"$60,000+",yes,2,1,no,552.6451035578391,no,1,824.1181891432944
female,54.585689496234046,0,Northeast,"$60,000+",no,0,1,no,613.6753336598929,no,0,830.2808811974252
female,56.73701897351983,3,Northeast,"$60,000+",yes,2,1,no,0,yes,1,249.70886889115178
male,37.0553600162064,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,245.6645633893067
female,41.13586635866851,2,Northeast,"$60,000+",yes,2,1,no,184.8517228631515,no,1,398.0997468181829
male,73.23503521526189,1,Northeast,"$60,000+",no,0,1,no,872.6252804443415,no,1,1119.5432313883057
male,51.30102020774685,1,Northeast,"$60,000+",yes,2,1,no,508.40084752563905,no,1,753.6473793127557
male,36.350648393953676,1,Northeast,"< $60,000",yes,2,1,no,639.2329657415625,no,1,764.1225926952168
female,82.68683316986383,2,Northeast,"$60,000+",yes,1,1,no,0,yes,0,185.28711955367254
male,38.30301511187777,3,Northeast,"$60,000+",yes,1,1,yes,0,yes,1,172.48480756670483
male,72.59872001187068,2,Northeast,"$60,000+",yes,0,1,no,598.7225374532463,no,1,855.8078587984878
female,61.62402086553157,2,Northeast,"$60,000+",no,0,1,no,381.1321765678741,no,0,645.6872073553935
male,57.58586134153131,4,Northeast,"$60,000+",no,0,1,no,168.48246816672952,no,1,426.054571150338
female,43.78518248129253,3,Northeast,"$60,000+",no,0,1,yes,385.9737028634512,no,1,688.2735251391728
male,67.72780002618487,1,Northeast,"$60,000+",no,0,1,no,370.9486414549534,no,1,584.8960548644213
female,17.162705001833828,1,Northeast,"$60,000+",no,0,1,no,0,yes,1,225.347681322268
male,30.2287251698286,2,Northeast,"$60,000+",no,0,1,no,342.1071552108178,no,1,619.2721727230611
male,45.11993141018092,0,Northeast,"$60,000+",yes,1,1,no,618.8228582540398,no,1,836.7610736269451
male,53.121138514455794,3,Northeast,"< $60,000",no,0,1,no,266.4983207251648,no,1,418.3614989095512
female,52.041039165684765,2,Northeast,"$60,000+",yes,0,1,no,1244.6341651241255,no,1,1439.9894455235428
female,44.25083656734339,1,Northeast,"$60,000+",no,0,1,yes,668.7773993151166,no,1,937.5221578783451
male,44.13610227243545,3,Northeast,"$60,000+",no,0,1,no,195.86012099863376,no,1,477.6904156305493
